📺央视频道,#genre#
江西卫视,http://61.136.172.236:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://111.11.123.42:6610/030000001000/LNWS/LNWS.m3u8?livemode=1
辽宁卫视,http://116.128.242.83:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://61.136.172.236:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://111.11.123.42:6610/030000001000/G_QINGHAI/G_QINGHAI.m3u8?livemode=1
山东卫视,http://111.11.123.42:6610/030000001000/SDWS/SDWS.m3u8?livemode=1
山东卫视,http://116.128.242.83:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://61.136.172.236:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://111.11.123.42:6610/030000001000/SXWS/SXWS.m3u8?livemode=1
四川卫视,http://111.11.123.42:6610/030000001000/SCWS/SCWS.m3u8?livemode=1
四川卫视,http://116.128.242.83:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://61.136.172.236:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://111.11.123.42:6610/030000001000/G_SHENZHEN/G_SHENZHEN.m3u8?livemode=1
深圳卫视,http://116.128.242.83:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://61.136.172.236:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://111.11.123.42:6610/030000001000/TJWS/TJWS.m3u8?livemode=1
天津卫视,http://116.128.242.83:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://61.136.172.236:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://111.11.123.42:6610/030000001000/G_XINJIANG/G_XINJIANG.m3u8?livemode=1
云南卫视,http://111.11.123.42:6610/030000001000/G_YUNNAN/G_YUNNAN.m3u8?livemode=1

☘️广东频道,#genre#
广东卫视,http://111.11.123.42:6610/030000001000/G_GUANGDONG/G_GUANGDONG.m3u8?livemode=1
广东卫视,http://116.128.242.83:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://61.136.172.236:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://111.11.123.42:6610/030000001000/G_SHENZHEN/G_SHENZHEN.m3u8?livemode=1
深圳卫视,http://116.128.242.83:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
